Country,Document.Name,Publisher.Organization,Year,Link,Summary,Thematic.Areas,Main_Category,Publisher_Origin,Publisher_Region
Kenya,"The Virtual Asset Service Providers Bill, 2025",Parliament of Kenya,2025,http://www.parliament.go.ke/sites/default/files/2025-04/THE%20VIRTUAL%20ASSET%20SERVICE%20PROVIDERS%20BILL%2C%202025%20%282%29.pdf,"Establishes a comprehensive framework for regulating VASPs, including licensing by the Central Bank of Kenya (CBK) and the Capital Markets Authority (CMA), and AML/CFT measures.",Regulation,"Regulation, Law & Compliance",International,African
Global,State of Crypto Report,a16z Crypto (Andreessen Horowitz),2024,https://a16zcrypto.com/wp-content/uploads/2024/05/State-of-Crypto-2024.pdf,"While global, this annual report from a major venture capital firm provides an investor's perspective on Web3 adoption, with data and trends relevant to Africa's position as a high-growth emerging market.",Blockchain Technology & Innovation Beyond Finance,Innovation & Adoption Trends,International,International
Africa,Dispute Resolution in the Age of Blockchain,Africa Arbitration Academy,2023,https://africaarbitrationacademy.org/wp-content/uploads/2023/05/Blockchain-Arbitration-in-Africa-Report.pdf,"A report outlining how international arbitration can be adapted to resolve crypto-related disputes in Africa, proposing new rules and specialized arbitrators.",Law & Jurisprudence,"Regulation, Law & Compliance",International,African
Africa,The State of Tech in Africa Report,Sturppy / AfricArena,2023,https://africarena.com/wp-content/uploads/2023/02/Sturppy-x-AfricArena-The-State-of-Tech-in-Africa-Report-2023.pdf,An annual venture capital and startup ecosystem report. The Fintech and Web3 sections provide data on investment trends into African crypto and blockchain startups.,Blockchain Technology & Innovation Beyond Finance,Innovation & Adoption Trends,International,African
Uganda,Statement on Crypto Currency,Government of Uganda,2017,https://archive.finance.go.ug/sites/default/files/press/statement%20on%20crypto%20currency.pdf,Cautions public against unregulated cryptocurrencies like Bitcoin and Ethereum.,"Consumer Protection, Crypto Awareness","Risk, Security & Consumer Protection",International,African
Uganda,Statement on Cryptocurrency,"Ministry of Finance, Uganda",2017,https://archive.finance.go.ug/sites/default/files/press/statement%20on%20crypto%20currency.pdf,"Government warns users that cryptocurrencies like Bitcoin and Ethereum are speculative, unregulated, and lack official backing.","Investor Risk, Regulatory Caution","Risk, Security & Consumer Protection",International,African
Rwanda (proposal-level),Rwandacoin: Prospects and Challenges of Developing a Cryptocurrency for Rwanda,arXiv,2019,https://arxiv.org/abs/1901.06249,"Evaluates feasibility of a national digital currency (“Rwandacoin”), covering integration, blockchain tech, and regional interoperability.","CBDC/National Crypto, Technical Feasibility",CBDC & Monetary Policy,International,International
Nigeria,Energy Demand Unawareness and the Popularity of Bitcoin: Evidence from Nigeria,arXiv,2022,https://arxiv.org/abs/2208.00280,Nigerian users are generally unaware of Bitcoin’s environmental impact; better awareness correlates with demand for sustainable practices.,"Sustainability, Consumer Awareness",Environmental & Energy Impact,International,International
African Union,AU Digital Transformation Strategy 2020-2030,African Union Commission,2020,https://au.int/sites/default/files/documents/38507-doc-dts-english.pdf,"Framework to accelerate digital economy growth and tech adoption, including fintech and blockchain technology.","Digital Economy, Innovation",Digital Economy & Tech Policy,International,African
African Union,Digital Transformation Strategy,African Union (AU),2020,https://au.int/sites/default/files/documents/38507-doc-dts-english.pdf,Promotes cross-border digital identity interoperability as part of a broader digital transformation strategy.,"Digital Identity, Regional Integration",Regional Integration & Geopolitics,International,African
